ts,alarm,is_on,health_smooth,health_band,xgb_pre_alarm_prob,combined_alert,if_raw_score
2021-05-01 03:55:00+00:00,0,0,67.46,degrading,0.06839223206043243,0,-0.10204837794373323
2021-05-01 04:00:00+00:00,0,0,67.45,degrading,0.06839223206043243,0,-0.10204837794373323
2021-05-01 04:05:00+00:00,0,0,67.45,degrading,0.06839223206043243,0,-0.10217511875810725
2021-05-01 04:10:00+00:00,0,0,67.45,degrading,0.06839223206043243,0,-0.10217511875810725
2021-05-01 04:15:00+00:00,0,0,67.45,degrading,0.06839223206043243,0,-0.10217511875810725
2021-05-01 04:20:00+00:00,0,0,67.44,degrading,0.06839223206043243,0,-0.10217511875810725
2021-05-01 04:25:00+00:00,0,0,67.44,degrading,0.06839223206043243,0,-0.10217511875810725
2021-05-01 04:30:00+00:00,0,0,67.44,degrading,0.06839223206043243,0,-0.10214883133245434
2021-05-01 04:35:00+00:00,0,0,67.44,degrading,0.06839223206043243,0,-0.10214883133245434
2021-05-01 04:40:00+00:00,0,0,67.44,degrading,0.06839223206043243,0,-0.10214883133245434
2021-05-01 04:45:00+00:00,0,0,67.43,degrading,0.06839223206043243,0,-0.10271659377630804
2021-05-01 04:50:00+00:00,0,0,67.41,degrading,0.06839223206043243,0,-0.10271659377630804
2021-05-01 04:55:00+00:00,0,0,67.4,degrading,0.06839223206043243,0,-0.10271659377630804
2021-05-01 05:00:00+00:00,0,0,67.39,degrading,0.06839223206043243,0,-0.10271659377630804
2021-05-01 05:05:00+00:00,0,0,67.38,degrading,0.06839223206043243,0,-0.10271659377630804
2021-05-01 05:10:00+00:00,0,0,67.37,degrading,0.06839223206043243,0,-0.10309735424531541
2021-05-01 05:15:00+00:00,0,0,67.35,degrading,0.06839223206043243,0,-0.10309735424531541
2021-05-01 05:20:00+00:00,0,0,67.34,degrading,0.06839223206043243,0,-0.10309735424531541
2021-05-01 05:25:00+00:00,0,0,67.33,degrading,0.06839223206043243,0,-0.10309735424531541
2021-05-01 05:30:00+00:00,0,0,67.31,degrading,0.06839223206043243,0,-0.10309735424531541
2021-05-01 05:35:00+00:00,0,0,67.3,degrading,0.06839223206043243,0,-0.10322433166070533
2021-05-01 05:40:00+00:00,0,0,67.28,degrading,0.06839223206043243,0,-0.10362028989550454
2021-05-01 05:45:00+00:00,0,0,67.25,degrading,0.06839223206043243,0,-0.10374738526122951
2021-05-01 05:50:00+00:00,0,0,67.23,degrading,0.06839223206043243,0,-0.10374738526122951
2021-05-01 05:55:00+00:00,0,0,67.22,degrading,0.06839223206043243,0,-0.10327106758166338
2021-05-01 06:00:00+00:00,0,0,67.22,degrading,0.06839223206043243,0,-0.1031440796271671
2021-05-01 06:05:00+00:00,0,0,67.21,degrading,0.06839223206043243,0,-0.1031440796271671
2021-05-01 06:10:00+00:00,0,0,67.2,degrading,0.06839223206043243,0,-0.1031440796271671
2021-05-01 06:15:00+00:00,0,0,67.19,degrading,0.06839223206043243,0,-0.10361492201862676
2021-05-01 06:20:00+00:00,0,0,67.18,degrading,0.06839223206043243,0,-0.10361492201862676
2021-05-01 06:25:00+00:00,0,0,67.14,degrading,0.06839223206043243,0,-0.10484837654053436
2021-05-01 06:30:00+00:00,0,0,67.1,degrading,0.06839223206043243,0,-0.10484837654053436
2021-05-01 06:35:00+00:00,0,0,67.07,degrading,0.06839223206043243,0,-0.10484837654053436
2021-05-01 06:40:00+00:00,0,0,67.04,degrading,0.06839223206043243,0,-0.10484837654053436
2021-05-01 06:45:00+00:00,0,0,67.0,degrading,0.06839223206043243,0,-0.10526808629510354
2021-05-01 06:50:00+00:00,0,0,66.97,degrading,0.06839223206043243,0,-0.10526808629510354
2021-05-01 06:55:00+00:00,0,0,66.94,degrading,0.06839223206043243,0,-0.10526808629510354
2021-05-01 07:00:00+00:00,0,0,66.91,degrading,0.06839223206043243,0,-0.10526808629510354
2021-05-01 07:05:00+00:00,0,0,66.87,degrading,0.06839223206043243,0,-0.10552304911209331
2021-05-01 07:10:00+00:00,0,0,66.84,degrading,0.06839223206043243,0,-0.10552304911209331
2021-05-01 07:15:00+00:00,0,0,66.81,degrading,0.06839223206043243,0,-0.10552304911209331
2021-05-01 07:20:00+00:00,0,0,66.79,degrading,0.06839223206043243,0,-0.10539555332823569
2021-05-01 07:25:00+00:00,0,0,66.77,degrading,0.06839223206043243,0,-0.10539555332823569
2021-05-01 07:30:00+00:00,0,0,66.74,degrading,0.06839223206043243,0,-0.10539555332823569
2021-05-01 07:35:00+00:00,0,0,66.72,degrading,0.06839223206043243,0,-0.10539555332823569
2021-05-01 07:40:00+00:00,0,0,66.71,degrading,0.06839223206043243,0,-0.10501323845508315
2021-05-01 07:45:00+00:00,0,0,66.71,degrading,0.06839223206043243,0,-0.10463118216345557
2021-05-01 07:50:00+00:00,0,0,66.7,degrading,0.06839223206043243,0,-0.1051217457367486
2021-05-01 07:55:00+00:00,0,0,66.68,degrading,0.06839223206043243,0,-0.1051217457367486
2021-05-01 08:00:00+00:00,0,0,66.67,degrading,0.06839223206043243,0,-0.10523027386172501
2021-05-01 08:05:00+00:00,0,0,66.66,degrading,0.06839223206043243,0,-0.10523027386172501
2021-05-01 08:10:00+00:00,0,0,66.65,degrading,0.06839223206043243,0,-0.1053203382219402
2021-05-01 08:15:00+00:00,0,0,66.62,degrading,0.06839223206043243,0,-0.1059958253321508
2021-05-01 08:20:00+00:00,0,0,66.62,degrading,0.06839223206043243,0,-0.10490759534213479
2021-05-01 08:25:00+00:00,0,0,66.61,degrading,0.06839223206043243,0,-0.10490759534213479
2021-05-01 08:30:00+00:00,0,0,66.61,degrading,0.06839223206043243,0,-0.10490759534213479
2021-05-01 08:35:00+00:00,0,0,66.62,degrading,0.06839223206043243,0,-0.10461113427913116
2021-05-01 08:40:00+00:00,0,0,66.61,degrading,0.06839223206043243,0,-0.10494884527341664
2021-05-01 08:45:00+00:00,0,0,66.61,degrading,0.06839223206043243,0,-0.10473149410997529
2021-05-01 08:50:00+00:00,0,0,66.62,degrading,0.06839223206043243,0,-0.10473149410997529
2021-05-01 08:55:00+00:00,0,0,66.62,degrading,0.06839223206043243,0,-0.10473149410997529
2021-05-01 09:00:00+00:00,0,0,66.62,degrading,0.06839223206043243,0,-0.10473149410997529
2021-05-01 09:05:00+00:00,0,0,66.61,degrading,0.06839223206043243,0,-0.1051400443949676
2021-05-01 09:10:00+00:00,0,0,66.6,degrading,0.06839223206043243,0,-0.1051400443949676
2021-05-01 09:15:00+00:00,0,0,66.6,degrading,0.06839223206043243,0,-0.1051400443949676
2021-05-01 09:20:00+00:00,0,0,66.59,degrading,0.06839223206043243,0,-0.10526748254771079
2021-05-01 09:25:00+00:00,0,0,66.56,degrading,0.06839223206043243,0,-0.10619817375474927
2021-05-01 09:30:00+00:00,0,0,66.54,degrading,0.06839223206043243,0,-0.10632585057301924
2021-05-01 09:35:00+00:00,0,0,66.51,degrading,0.06839223206043243,0,-0.10619817375474927
2021-05-01 09:40:00+00:00,0,0,66.49,degrading,0.06839223206043243,0,-0.10619817375474927
2021-05-01 09:45:00+00:00,0,0,66.47,degrading,0.06839223206043243,0,-0.10619817375474927
2021-05-01 09:50:00+00:00,0,0,66.46,degrading,0.06839223206043243,0,-0.10619817375474927
2021-05-01 09:55:00+00:00,0,0,66.44,degrading,0.06839223206043243,0,-0.10619817375474927
2021-05-01 10:00:00+00:00,0,0,66.43,degrading,0.06839223206043243,0,-0.10593156772600476
2021-05-01 10:05:00+00:00,0,0,66.42,degrading,0.06839223206043243,0,-0.10593156772600476
2021-05-01 10:10:00+00:00,0,0,66.41,degrading,0.06839223206043243,0,-0.10605918441016382
2021-05-01 10:15:00+00:00,0,0,66.4,degrading,0.06839223206043243,0,-0.10590510460428493
2021-05-01 10:20:00+00:00,0,0,66.39,degrading,0.06839223206043243,0,-0.10603271531957548
2021-05-01 10:25:00+00:00,0,0,66.38,degrading,0.06839223206043243,0,-0.10603271531957548
2021-05-01 10:30:00+00:00,0,0,66.37,degrading,0.06839223206043243,0,-0.10603271531957548
2021-05-01 10:35:00+00:00,0,0,66.36,degrading,0.06839223206043243,0,-0.10603271531957548
2021-05-01 10:40:00+00:00,0,0,66.35,degrading,0.06839223206043243,0,-0.10603271531957548
2021-05-01 10:45:00+00:00,0,0,66.35,degrading,0.06839223206043243,0,-0.10603271531957548
2021-05-01 10:50:00+00:00,0,0,66.34,degrading,0.06839223206043243,0,-0.10603271531957548
2021-05-01 10:55:00+00:00,0,0,66.32,degrading,0.06839223206043243,0,-0.10645355618933239
2021-05-01 11:00:00+00:00,0,0,66.33,degrading,0.06839223206043243,0,-0.10539102706045278
2021-05-01 11:05:00+00:00,0,1,66.91,degrading,0.07127107679843903,0,-0.07607392168706073
2021-05-01 11:10:00+00:00,0,0,67.46,degrading,0.06867389380931854,0,-0.07607392168706073
2021-05-01 11:15:00+00:00,0,0,67.42,degrading,0.06839223206043243,0,-0.10409592326350137
